"pesticide","food","EDI_prob","HQ_p5","HQ_p50","HQ_p95","HQ_exceed","LCR_p5","LCR_p50","LCR_p95","LCR_exceed"
"Heptachlor Epoxide","Khat",0.0100381797170884,137.104570276521,540.140735406141,2177.252388922,100,0.0162194706637125,0.0638986489985465,0.257568957609472,100
"Heptachlor Epoxide","Milk",0.00100887361737177,8.94450621453365,46.2117917892591,241.532526025433,100,0.00105813508517933,0.00546685496866935,0.0285732978288087,100
"Heptachlor Epoxide","Tea",0.00327519399919465,44.4191918083825,179.74291561992,696.706210072033,100,0.00525479039093165,0.0212635869178365,0.0824203446515214,100
"Hexachlorobenzene","Milk",0.000609011165852274,0.0965697301653354,0.475396928678578,2.35997583357588,21.92,0.000123609254611629,0.00060850806870858,0.00302076906697713,96.79
"Hexachlorobenzene","Tomato",1.12240438323771e-05,2.03098502168073e-06,0.000211334658093097,0.0230086381595085,0.18,2.59966082775133e-09,2.70508362359164e-07,2.94510568441708e-05,1.87
"Hexaconazole","Honey",4.06827460145291e-05,0.000131995604154892,0.00209037382287403,0.0306695195946783,0,NA,NA,NA,NA
"Imidacloprid","Fish",6.00562507982614e-05,1.13271179642942e-06,5.54968738436227e-05,0.00281740419273838,0,NA,NA,NA,NA
"Lambda-Cyhalothrin","Drinking Water",0.000260393302383712,0.020794903306917,0.0755043116795935,0.278163647866839,0.1,NA,NA,NA,NA
"Lambda-Cyhalothrin","Onion",0.000124057990326198,0.00105893678153721,0.0145134433439705,0.200062595983306,0.34,NA,NA,NA,NA
"Lambda-Cyhalothrin","Tomato",0.000219803101452977,0.0034957830445847,0.0328535998013608,0.331292227207006,0.76,NA,NA,NA,NA
"Lindane","Cabbage",0.000201566329014147,0.0341936948250089,0.297520050215564,2.45704285963749,17.69,NA,NA,NA,NA
"Lindane","Drinking Water",0.000770711276795244,1.15691879040482,2.34297415765227,4.7981566015842,97.72,NA,NA,NA,NA
"Lindane","Honey",0.000155629735279592,0.031810910306217,0.241083249349782,1.82618811730791,12.08,NA,NA,NA,NA
"Lindane","Onion",0.0043038930341495,2.53768672771291,9.95358212824283,40.266681280113,99.64,NA,NA,NA,NA
"Lindane","Potato",0.00165939640759603,0.850821054557071,3.7399553924739,16.3610604264737,92.72,NA,NA,NA,NA
"Malathion","Honey",5.43365983348514e-05,6.50977768248123e-05,0.000856201527427225,0.0105348977065404,0,NA,NA,NA,NA
"Malathion","Pineapple",0.00041691643428518,0.00235832053321799,0.0125010719510108,0.0656576550579055,0,NA,NA,NA,NA
"Malathion","Potato",0.000352818498354149,0.0017766345327163,0.0102166261907752,0.0569652067498191,0,NA,NA,NA,NA
"Malathion","Tomato",0.000374764589634701,0.00173452556244891,0.0103794147239458,0.0635999142271725,0.01,NA,NA,NA,NA
"Metalaxyl","Drinking Water",0.000235605222444806,0.000615709829144728,0.00265155789935704,0.0113411670340997,0,NA,NA,NA,NA
"Metalaxyl","Honey",5.24928885744707e-05,1.55825777565168e-05,0.000224150563569612,0.00323349672538564,0,NA,NA,NA,NA
"Metalaxyl","Onion",0.000389883543874457,0.000553738350218643,0.0034995229282285,0.0221438223106484,0,NA,NA,NA,NA
"Metalaxyl","Tomato",0.000797583568295971,0.0018604138953458,0.00858488186086538,0.0397768706178294,0,NA,NA,NA,NA
"Methoxychlor","Honey",8.92131740752534e-05,0.00128640788046811,0.00913078694828895,0.0607146046387761,0,NA,NA,NA,NA
"Methoxychlor","Khat",0.000313848300050667,0.00125876891870588,0.0171242259117336,0.228725178365405,0.64,NA,NA,NA,NA
"Methoxychlor","Milk",0.000300885946664462,0.00563919983953201,0.0343882044768764,0.19588310528674,0.07,NA,NA,NA,NA
"Methoxychlor","Onion",0.00022570843036032,0.00607495435785939,0.0287819483662748,0.140774804625816,0.01,NA,NA,NA,NA
"Methoxychlor","Pineapple",0.000213075030068807,0.00446962434315343,0.0246612426055888,0.134952056563673,0.03,NA,NA,NA,NA
"Methoxychlor","Potato",0.000113080814650033,0.000266064444611856,0.00473664151111247,0.087509113260676,0.16,NA,NA,NA,NA
"Methoxychlor","Tea",0.00209739040329757,0.0725717976210276,0.296788841361228,1.173127613189,7.27,NA,NA,NA,NA
"Methoxychlor","Tomato",0.000262373467314038,0.00622704175487131,0.0322934232395896,0.166755217545842,0.02,NA,NA,NA,NA
"Metribuzin","Honey",4.80488372020235e-05,0.000597610603957874,0.0091826427210482,0.143493943526562,0.31,NA,NA,NA,NA
"O,P'-Ddd","Fish",0.00059458548043676,0.00304247952240325,0.101755892800871,3.48421608206383,14.18,3.6509754268839e-07,1.22107071361046e-05,0.00041810592984766,16.13
"O,P'-Ddd","Khat",4.60808351268033e-05,0.00050232667324639,0.0138332710340742,0.368501137107081,1.54,6.02792007895667e-08,1.6599925240889e-06,4.42201364528497e-05,1.94
"O,P'-Dde","Fish",6.91388399464796e-05,3.51649742319454e-05,0.00316881675918953,0.31135974984937,1.79,5.97804561943072e-09,5.3869884906222e-07,5.29311574743929e-05,2.81
"O,P'-Dde","Khat",2.87297211185694e-05,0.000104245056496598,0.00445386757730907,0.207460967442481,0.82,1.77216596044217e-08,7.57157488142541e-07,3.52683644652218e-05,1.56
"O,P'-Ddt","Cabbage",0.00258906956407708,0.84941623389016,3.57008974468468,15.1604293545122,92.77,0.000144400759761327,0.000606915256596396,0.00257727299026707,98.18
"O,P'-Ddt","Drinking Water",0.00172051019663281,1.59360732441254,3.1666095376792,6.22774307203675,99.63,0.000270913245150131,0.000538323621405464,0.00105871632224625,100
"O,P'-Ddt","Fish",0.000182153583760033,0.000479035956976526,0.0233433021802615,1.14265741748845,5.66,8.14361126860095e-08,3.96836137064445e-06,0.000194251760973037,8.56
